accession_id,included,Title,Authors,Year,DOI,inclusion_summary,passed_screening,screened_fail_stage,full_text_available,passed_inclusion_criteria,criteria_failed,criteria_fail_reason,Database.ID,Source.title,Document.Type,Cited
A_1022,N,Organic transformation of lignin into mussel-inspired glues: next-generation 2K adhesive for setting corals under saltwater,"Choi, Ching-Yi; Lossada, Francisco; Walter, Keven; Fleck-Kunde, Tom; Behrens, Sascha; Meinelt, Thomas; Falkenhagen, Jana; Hiller, Matthias; Oschkinat, Hartmut; Dallmann, Andre; Taden, Andreas; Borner, Hans G.",2024,10.1039/d3gc03680d,screened_by_title,N,title,NA,NA,NA,NA,WOS:001139120600001,GREEN CHEMISTRY,Article,1
A_1023,N,Survival of tissue balls from the coral Pocillopora damicornis L. exposed to cryoprotectant solutions,"Feuillassier, Lionel; Martinez, Lucie; Romans, Pascal; Engelmann-Sylvestre, Isabelle; Masanet, Patrick; Barthelemy, Dominique; Engelmann, Florent",2014,10.1016/j.cryobiol.2014.08.009,screened_by_title,N,title,NA,NA,NA,NA,WOS:000346461500004,CRYOBIOLOGY,Article,11
A_1024,N,Weedy futures: can we benefit from the species that thrive in the marine Anthropocene?,"Doubleday, Zoe A.; Connell, Sean D.",2018,10.1002/fee.1973,screened_by_abstract,N,abstract,NA,NA,NA,NA,WOS:000451912200012,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,Article,22
A_1025,N,"A genetic metapopulation model for reef fishes in oceanic islands: The case of the surgeonfish, Acanthurus triostegus","Planes, S; Galzin, R; Bonhomme, F",1996,10.1046/j.1420-9101.1996.9010103.x,screened_by_title,N,title,NA,NA,NA,NA,WOS:A1996TU44900007,JOURNAL OF EVOLUTIONARY BIOLOGY,Article,57
A_1026,N,"Vagrancy in paradise: documentation of the chevron butterflyfish Chaetodon trifascialis in Kaneohe Bay, Oahu, Hawaiian islands","Franklin, Erik C.",2017,10.1186/s41200-017-0124-z,screened_by_title,N,title,NA,NA,NA,NA,BCI:BCI201700766683,Marine Biodiversity Records,Article,1
A_1027,N,"Pelagic larval duration of the Caribbean wrasse, Thalassoma bifasciatum","Philibotte, J",2002,10.2307/1543421,screened_by_title,N,title,NA,NA,NA,NA,WOS:000179108500041,BIOLOGICAL BULLETIN,Article; Proceedings Paper,10
A_1028,Y,Genetic structure of black coral populations in New Zealand's fiords,"Miller, KJ",1997,10.3354/meps161123,included,Y,NA,Y,Y,NA,NA,WOS:000072100100012,MARINE ECOLOGY PROGRESS SERIES,Article,43
A_1029,Y,"Larval dispersal, recruitment, and adult distribution of the brooding stony octocoral Heliopora coerulea on Ishigaki Island, southwest Japan","Harii, S; Kayanne, H",2003,10.1007/s00338-003-0302-9,included,Y,NA,Y,Y,NA,NA,WOS:000184019500015,CORAL REEFS,Article,62
A_1030,Y,The Antarctic Circumpolar Current as a diversification trigger for deep-sea octocorals,"Duenas, Luisa F.; Tracey, Dianne M.; Crawford, Andrew J.; Wilke, Thomas; Alderslade, Phil; Sanchez, Juan A.",2016,10.1186/s12862-015-0574-z,included,Y,NA,Y,Y,NA,NA,WOS:000367430900002,BMC EVOLUTIONARY BIOLOGY,Article,36
A_1031,N,Datasets for calculating the contributions of marine reserves to fisheries on the Great Barrier Reef,"Bode, Michael",2024,https://doi.org/10.25912/RDF_1707197851357,screened_by_abstract,N,abstract,NA,NA,NA,NA,DRCI:DATA2024061029002938,QUT Research Data Finder,Data set,0
